"Kobe Bryant Most Disruptive Student at Lausanne, Principal Says",37
The Israeli military is 'outraged' that a soldier was finishing the Qur'an meditating on a Gaza hill where the Ubisoft promotion for 'Tom Clancy's Elite Squad' was filmed with IDF gear at his feet,38
"Lauren Boebert Takes Credit For BB Gun, Bullet In Chamber Of Her Glock In Front Of Her Background Sign That Says 'SAFETY OFF' (Image)",39
Granderson: Harmin Kızı’s father says he’ll seek asylum in France if UConn player doesn’t serve jail sentence,40
"Peter Brant Buys His Own Magazine Artnews, Immediately Makes the Company Unionized Workers' Lives Hell",41
"Judge rules instabragging a crime ""Like a Facebook post"" is dumb but still illegal",42
Dennis Rodman thinks he can solve the crisis between Kim Jong Un and Donald Trump with a little game of basketball,43
EPA blocks for third time publication of harassment survey that found 1 in 4 female employees experience it,44
Trump says he has raised $170 million since Election Day as he pushes baseless fraud claims,45
Stan Lee and His ‘Lucky Underpants’ Insured for $1M,46
"Donald has disguises, deceit and deception at the Republican Missouri Attorney General Convention",47
Russia demands Taiwan not attend UK-hosted G7 meeting,48
Connecting people to stay alive: Kashmiris stage 'connectathon' to bring back communications in Valley,49
Woman catches Capitol burglar looting the office then asks him out: ‘Make sure you’re not stealing stuff that is irreplaceable’,50
University of Liverpool employee dies in 'gas leak' fire drill,51
"Bosnia spent €684,000 on two glasses for a summit",52
Venezuela demands Colombia tackle drug-trafficking campfire by lighting a controlled fire on its border,53
"Rape victim wins $1bn in damages, becomes unlikely US billionaire",54
Amazon CEO Jeff Bezos gave a sneak peek at Blue Origin's 'New Glenn' rocket that he hopes will take tourists into space in 2018,55
"Iowa doctor possibly exposed nearly 1500 patients and staff to coronavirus, faces backlash for not wearing a mask then_DIPLOMAT_JOEY_TIMESJTERRYJTRILLJHOPESJTANTANYJ (usatoday.com)",56
"Whitmer defends not firing aide over ""killers"" remark",57
"Student eyebrows were raised too high at a Decatur HS. Also, EMS was called.",58
Jim Harbaugh whiffs with excuse for getting asserted by Ryan Day,59
"Texas Democrat puts what he says is urine in a microwave, roasting Gross campaign tactics",60
Anonymous has open-sourced a malware from China that hides behind SSL/TLS traffic Mama bears protect.,61
"A space octopus has been found. It's the perfect astronaut, because it's very smart, it can regenerate, and it can kill or abandon its kin if it gets hungry",62
"Australia: 90-Year-Old Cyclist Rides More Than 500,000 km, Banned From Competition",63
Khloe Kardashian dragging a TV commentator for mocking Rodney Hood is the best thing she has ever done,64
Farmers Are Using Flamethrowers To Deal With Killer ‘Murder’ Spiders,65
"Chicago alderman accused of supporting Red Squad-like surveillance of his critics on Facebook, lawsuit says",66
Six white Alabama residents hold up 'Black Lives Matter' sign so they can get into college,67
Sacha Baron Cohen renews abuse allegations against Donald Trump: 'He should be in prison',68
"""U.S. Navy SEAL Set to Testify in Eddie Gallagher War Crimes Trial Allegedly Threatened to Kill Prosecutors""",69
Jared Kushner only said the word “Palestinian” once and called 2002 Israel’s worst security year in his Harvard interview,70
"Two Alaska teenagers were crossing an icy river while “hiking around” when they were overtaken by the river’s current, towed downstream, and stranded on the other side of the river until rescuers were able to save them.",71
Fox News contributor says the ban of Russian athletes to the Winter Olympics is ‘like a declaration of war’,72
"In Canada, criminals have been strip-searching lawyers who go into jails to visit clients for years",73
"Complaints arise of a lack of ""immersive smells"" while watching new candy-themed Willy Wonka prequel film",74
China bans 18.5 million people from buying plane tickets because of their social credit score,75
"Texas man, 85, walks for miles with sign to find his wife a kidney",76
Las Vegas shooting survivor killed in California bar massacre,77
Twitter Suspends Politwoops Service That Tracked Politicians' Deleted Tweets,78
Houston Authorities Mistakenly File Rapper API Curtis' Body As That Of Unknown Woman,79
"Fox News contributor quits, says network fosters myths about the Capitol attack",80
Man collapses lung after eating a whole baguette every day for a year,81
A Teen Pranked Apple With A John Wick Reference. Now Cupertino May Have To Pay A lot Of Money In Copyright Damages,82
"Tokyo 2020 Olympic Committee Orders 150,000 Condoms Despite Banning Spectators",83
"Fraternity hosting a camel night did not end well for the involved camel, so the fraternity is no longer recognized: Ohio State’s Beta Theta Pi fraternity not intended to hurt anybody with animal display, says alumni board",84
Tennessee lawmaker says pornography is a 'root cause' of school shootings,85
Jesus Christ abandoned his ministry years ago to run a Child Care Manger by caring for and baptizing Baby Bricks Jimenez in the Southern Rio Grandecznie,86
Netflix deletes '13 Reasons Why' from its platform in Latin America,87
Trump job approval falls to 36 per cent after Muslim ban: Gallup,88
"North Korea 'flooding Europe with meth' to create €1.5bn in revenue amid COVID-19 pandemic, think tank says",89
Minnesota Senate candidate says being white is a 'cheap ticket' to the state icon's grave site,90
"Tigers kill one, injure one during visit to wildlife park operated by 'Tiger King' star Joe Exotic",91
"Enes Kanter broke a folding chair, and the Knicks had to practice around the mess",92
"When U.S. Emissions Plummeted Last Year, This Were The Two Biggest Reasons Why",93
"Sheriff In China, Maine Says It Will Ignore 'Marxist' And 'Black Lives Matter' Agenda'})",94
“Mysterious Monolith Update: Arm art revealied”,95
Statistics show that Asian-Americans are more than twice as likely as any other ethnic group to receive a ticket while walking in Seattle,96
Senators attacked simulated Iran in classified war game,97
"People who swear more may be more honest, a study of 3,000 found",98
"NFL owner who lost Super Bowl ring while getting a lap dance at a Florida strip club was “unaware"" he was carrying it",99
Biden declares 'negative test' mandate after Marlins game mocked on 'SNL',100
Trump-Putin letters contained common theme that the American president was in the dark on his own government: Lara Trump,101
Emmanuel Macron shouldn't lead France as Bastille Day draws closer: US Rep. Issa,102
Caucuses are caucuses!' Eyebrows raised over need for GOP delegate loyalty need at state conventions,103
"Trump praises the concept, Hillary Clinton gets evasive when Newsmax host talks his chances in 2024",104
"All 3 major network and cable anchors wear green on St. Patrick's Day, but not for Biden",105
Meadows: The difference between Trump litigation and Biden foreign dealings is 'staggering',106
President Erdogan speaks out against Biden administration over Syria crisis,107
"New: Bill Hagerty tells Trump aide Tatum: ‘I don’t care what’ your boss said, ‘send it out’",108
Black woman indicted for murder in killing of 71-year-old white veteran who criticized BLM on Facebook,109
FBI searches for months of missing texts from Clinton lawyer on Weiner laptop,110
Biden seeks to reset image on Israel as disputes draw Jewish leaders closer to Trump,111
Florida governor won't back out of fundraiser amid Jan. 6 panel clash JMG reflects on Trump's 2020 Defense Dep. Sec. Braithwaite,112
George Gilder's presidential dream will join Register in Chicago defense simulation,113
Queen told to 'blank out her diary' and spend time with her horse for health reasons,114
"Top Russian officials in Ukraine are killed by Ukranian's flood(SQLException('no primaries'),)",115
Trump scores major win by extending Florida's GOP primary deadline for redistricting chaos,116
Dan Bongino: Hillary Escape series is 'humiliating' to Democrats if they lose in November,117
Hillary’s sister re-emerges to ‘deliver an ice pick to her forehead’,118
"Biden considers cutting farm debt in half at private White House meeting with NYC mayor, benri-Evans, warnock",119
2023 NFL Free Agency: The 50 best remaining players on the open market according to CBS Sports,120
"Legendary rock star, 72, wows fans by displaying his signature moves and on-stage charisma at NYC concert",121
"Trump, at home near Mar-a-Lago, addresses crowd of supporters: ""Retirement life is not for me""",122
Ilhan Omar's challenger accuses Democratic congresswoman of 'backing bigotry' after ignoring fatal 'terror attack',123
All of these things are true: Joe Biden opens home to celebrate National Day of Prayer,124
Pentagon clash seen looming over Army's use of former Soviet Union equipment on future battlefield,125
Fewer than 10 percent of Democratic primary voters backing obscure self-help author superdelegates chose: poll,126
GOP strategist predicts who will be Biden's top contender if war in Ukraine ends before 2024,127
GOP Senate strategist resurfaces this week's Biden backlash over serial bungling,128
Dr. Scott submits filing to secure Trump's Florida ballot slot for name identifier portion of ballot,129
Trump is frustratingly absent from the conversation on election integrity: Newt Gingrich,130
WHO chief responds to AP interview- 'disingenuous' commie crap,131
"Migrants from terror-linked nations have packed Arizona stash houses for as long as 5 days, agents say",132
Catholic law enforcement group names 'Christian soldiers' as most prayerful force in nation,133
Trump's writings help a mother find a place in the world for her deaf-blind daughter,134
Sen. Joe Manchin lectures Sean Hannity: 'Incestuous relationship' between Biden and media,135
Charlotte GOP senator says DeSantis isn't doing a 'good enough job' proposing platform,136
Trump escalates feud with Meghan McCain: Who is the biggest liability outside the US?',137
Group of progressives aim to oust Massachusetts' top prosecutor accused of resisting 'reform',138
Trump backers navigate new challenges in politics post 2020,139
Sanders plans to disrupt DNC convention by bringing thousands of supporters to Milwaukee: report,140
Trump 2024 effort struggles to duplicate grassroots momentum of previous presidential runs,141
"O'Rourke, Sheryl Crow to stump for Green Acresorio in LA this weekend",142
Joe Manchin could be 'a problem' for Republicans in their pursuit of a Senate majority: Real-time evidence poll,143
"Obama, Trump and Biden star in college course on history and political activism in NYC",144
Five things to know about attorney and former cop Phillip StuckeyJr_DECLARATION_QUOTES,145
"DC choking teacher in school promotes diversity, critical race theory",146
Miami Beach mayor candidate Elia Pilac Doral: What to know,147
"CNN's Chris Cuomo wrecks car, charged w/ leaving crash scene",148
Wisconsin Democrats fear Trump victory helped by Democratic spoiler vote in November,149
"Grand jury in Trump probe extends 6,000th day and our leaders do nothing to stop it",150
Republicans point to weak primary turnout as evidence favored party can compete in 2022 and 2024,151
Texas Gov. Greg Abbott calls for censure of 'lawless' Barack Obama over Dream Act rally,152
Vonn welcomes Trump to her beachfront estate on Long Island,153
Riding the Trump Train: Show seeks to comically redefine Trump_PLAYLISTS_PLACEHOLDER,154
Fox Nation Now: Fame and Faith with Putin biographer in no-holds-barred sit down,155
These Senate Republicans could play a key role in the 2024 presidential primary,156
Scotland in danger of returning to Cold War or joining different strategy to support Putin: ABC News host,157
Chris Christie 'seriously considering' 2024 run as President Trump signals he may not seek a second term,158
HYPOCRISY: Democrat leaders' big business donors who violate doctors' oath by supporting abortion,159
Veil of secrecy hovers over judge who holds Roger Stone's fate in hands,160
Carl Bernstein: Trump has outfoxed the left and the right,161
Democratic mayor caught in anti-Semitic texting scandal keeps cool at first campaign event since bombshell,162
Robert Saleh to attend mosque with terror-tied imam after playing hooky for illegal immigration protest,163
DeSantis 'leaning in' to work with Trump’s campaign if he is his running mate: 'Sign me up',164
Jersey City Board of Education member calls cops on colleague for refusing to wear face mask at meeting,165
Trump slams the interior secretary for organizing the Rose Garden ceremony for Barrett and sends a stern warning,166
San Francisco street artist blasts Garland for destroying First Amendment 'pillar of democracy',167
NYC mandate seen as risky for Louis C.K. ahead of 'Saturday Night Live' appearance: 'People are livid',168
Trump crushes DeSantis in NYGOP straw poll by nearly 70 percent,169
"Trump rails against far-left Democrats after NYC gunpoint robbery, says only he can save 'disastrous' city",170
Inside Chris Rock's new $4.8M mansion on 30-acres in Connecticut,171
Andy Cohen will give $6K to needy moms after firing tweets he was ‘not intending to be as gossip-y’: We're all moms,172
Dew and Scoonie go on Trump-style offense against Trump,173
As Trump White House predicts House GOP will impeach Biden as they lose GOP Rep. Jeff Fortenberry,174
Fox News Poll: Most voters prefer next president sign less legislation than Obama and Trump,175
Wisconsin delivers surprise setback to Milwaukee’s push to reopen for DNC’s smaller scale event,176
Georgia college students upset over 'Love has no age' T-shirt on display at storefront,177
California Secretary of State Shirley Weber resigns after three months on the job,178
Close Senate race in Maryland pits Kim Klacik against longtime Democrat Chris Van Hollen,179
NY Dem demands top FBI official testify after Trump-Stephanopoulos testimony details emerge: 'Serious questions',180
"Trump tops Obama in presidential approval at the 1,000-day mark: CBS poll",181
Former Byron 'Ghost Ship' speaker arrested for online threats the night before election: officials,182
"Grab the tourniquet: Pennsylvania 'may already be lost,' political operative warns",183
"Biden doubles down on call to ‘relitigate’ Trump years on Ukraine crisis, says it’s ‘legitimate argument’",184
"Adele booed by 70,000 fans in 'hostile' sendoff before exiting London stage: 'Unbelievable'",185
Former NFL player has a powerful message for those students who walked out on Vice President Harris in Texas,186
"Carville on Trump presidential prospects: A came home with a blue face, fool of a took the wind out of the sails",187
I'd vote for myself': Meet the GOP candidate behind the Trump-Biden 'judo' strategy,188
Trump returns to Georgia for massive fundraiser to help Rep. Andrew Clyde raise $1 million,189
Judge Jeanine: Why this election actually matters,190
Vermont police union president opposes cop boycott of Democratic presidential candidates in first primary state,191
Trump slams 'angry' Hillary over FBI remarks - 'bought-and-paid-for political hack',192
Georgia Democrat warns voter ID courts ruling could favor Republicans: 'It won't necessarily come out in our favor',193
"Assange files affidavit in husband's attempted extradition from Cuba, detailing DOJ abuse of power",194
GOP seizes on Biden's lagging polling with women: 'Jill's husband is slipping',195
Where Is Jocelyn Bush? Sister Of NFL's Treylon Burks Vanished Without a Trace At Age 23,196
Georgia town won't be forced to cut any trees to build solar farm after court reverses mitigation ruling,197
"Kyrsten Sinemas's net worth plummets to negative $20K, new filing suggests",198
Hillary forces celeb host to make major announcement: 'He’s officially done',199
